goos: linux
goarch: amd64
pkg: branchkv-core/internal/virtual_mem/benchmarks
cpu: AMD EPYC 7763 64-Core Processor                
BenchmarkPageFault-4       	79351087	        15.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageFault-4       	75881193	        16.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageFault-4       	70655120	        15.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	110116141	        10.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	114224499	        10.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkPageWalker-4      	100000000	        10.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecDAG-4         	 9255462	       127.6 ns/op	      93 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	10681268	       144.3 ns/op	      97 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	 8158129	       134.8 ns/op	      89 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	 9298977	       150.6 ns/op	      93 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	11143214	       153.0 ns/op	      95 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	13719102	       205.4 ns/op	      96 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	10192498	       106.6 ns/op	      89 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	 8968533	       151.6 ns/op	      95 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	 9373058	       108.5 ns/op	      93 B/op	       1 allocs/op
BenchmarkSpecDAG-4         	12253539	       176.1 ns/op	      91 B/op	       1 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6606 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6672 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6670 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6945 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.7683 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.7057 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6451 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6378 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6982 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpecWalker-4      	1000000000	         0.6304 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	branchkv-core/internal/virtual_mem/benchmarks	153.784s
